date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-2,9,9,9,5,5,44,0.0,1018,8,10,315,4,iran
2018-12-11 03:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-2,8,9,8,9,5,46,0.0,1018,7,10,308,7,iran
2018-12-11 06:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-2,8,8,8,7,3,49,0.0,1019,6,10,304,5,iran
2018-12-11 09:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-1,11,11,11,9,2,41,0.0,1019,9,10,285,8,iran
2018-12-11 12:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-1,13,13,13,9,2,36,0.0,1018,11,10,279,8,iran
2018-12-11 15:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-2,14,14,14,10,2,33,0.0,1016,12,10,289,9,iran
2018-12-11 18:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-0,14,14,14,5,0,37,0.0,1017,10,10,303,4,iran
2018-12-11 21:00:00,12,6,0.0,8.7,3,21,11:10 AM,09:30 PM,08:04 AM,05:52 PM,-2,12,12,12,7,0,37,0.0,1017,9,10,312,5,iran
2018-12-12 00:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-3,12,12,12,6,0,36,0.0,1018,8,10,305,5,iran
2018-12-12 03:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-4,12,12,12,6,0,33,0.0,1018,8,10,304,5,iran
2018-12-12 06:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-7,11,11,11,9,0,28,0.0,1019,7,10,301,6,iran
2018-12-12 09:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-7,14,14,14,10,0,22,0.0,1019,11,10,302,8,iran
2018-12-12 12:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-8,17,17,17,12,0,18,0.0,1018,14,10,297,10,iran
2018-12-12 15:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-9,17,17,17,13,1,16,0.0,1016,15,10,291,12,iran
2018-12-12 18:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-10,13,13,13,10,3,19,0.0,1017,11,10,332,6,iran
2018-12-12 21:00:00,15,7,0.0,8.7,4,29,11:49 AM,10:24 PM,08:05 AM,05:52 PM,-12,13,13,13,9,1,16,0.0,1017,10,10,10,5,iran
2018-12-13 00:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-13,12,12,12,5,0,16,0.0,1017,9,10,34,3,iran
2018-12-13 03:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-11,13,13,13,2,0,18,0.0,1016,8,10,73,2,iran
2018-12-13 06:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-12,12,12,12,5,0,17,0.0,1017,7,10,9,3,iran
2018-12-13 09:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-12,17,17,17,3,1,13,0.0,1017,12,10,315,3,iran
2018-12-13 12:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-10,19,19,19,2,0,13,0.0,1017,15,10,272,1,iran
2018-12-13 15:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-8,19,19,19,1,2,16,0.0,1016,15,10,345,1,iran
2018-12-13 18:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-13,12,13,12,15,4,15,0.0,1019,12,10,8,9,iran
2018-12-13 21:00:00,15,7,0.0,8.7,4,36,12:24 PM,11:20 PM,08:06 AM,05:52 PM,-10,12,13,12,13,0,19,0.0,1020,10,10,351,9,iran
2018-12-14 00:00:00,13,8,0.0,7.0,4,43,12:57 PM,No moonset,08:06 AM,05:52 PM,-8,10,11,10,15,4,26,0.0,1021,10,10,343,8,iran
